"feature_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","type"
"BUB1",1076.14773317011,2.80696488945238,0.143817879705831,19.5174959830713,7.79667536361754e-85,1.16761200778216e-82,"Up regulated"
"SKA1",259.213754802476,3.18914199108186,0.163547184408495,19.4998281542791,1.10151770232584e-84,1.64399643742706e-82,"Up regulated"
"TRPM8",337.207466051054,6.82288880695088,0.349923639611627,19.4982219964432,1.13665463058545e-84,1.6906870689986e-82,"Up regulated"
"ITPKA",622.308040695062,5.27886984513476,0.27087042968906,19.4885423676351,1.37337621310257e-84,2.03589104238944e-82,"Up regulated"
"ENSG00000263893",74.6019056059725,5.48252938079296,0.281922789989388,19.4469180054558,3.09482367635966e-84,4.54173137441423e-82,"Up regulated"
"IQANK1",1741.75777304044,2.36427162042033,0.121641918231355,19.4363230603092,3.8047715611966e-84,5.54649738650318e-82,"Up regulated"
"TK1",2662.30870087631,2.7903185479696,0.143631545820058,19.4269199850102,4.56973094684924e-84,6.61766416557088e-82,"Up regulated"
"KIFC1",1107.1604439472,2.88144426297805,0.148639632943263,19.3854371537497,1.02430964986314e-83,1.47362895496212e-81,"Up regulated"
"ENSG00000256940",65.7970702655687,3.60252521111746,0.186296034571855,19.3376376442836,2.59074803979656e-83,3.69089068955302e-81,"Up regulated"
"KISS1R",80.568633822588,6.45698058302966,0.333965922733382,19.3342498245982,2.76662350864085e-83,3.92869491701139e-81,"Up regulated"
"STX1A",777.470352810186,3.08233137025494,0.159515821380071,19.3230448465096,3.43762677495306e-83,4.86579436316662e-81,"Up regulated"
"PPP1R14BP3",650.824914347994,2.1560638638583,0.111682887198399,19.3052303530455,4.85384121891186e-83,6.82633650143057e-81,"Up regulated"
"RAB26",170.498006473925,3.7616623742027,0.194869083786898,19.3035360001811,5.01566561698892e-83,7.03138631335006e-81,"Up regulated"
"LINC01270",146.417592024647,3.03100529827844,0.157215213134054,19.2793384167852,8.00943293564046e-83,1.1121705942499e-80,"Up regulated"
