gene_ids,log2FoldChange
HOXC13.AS,4.9593223475
IGHV3.50,3.5623127653
CHRNB4,2.3399069986
ENSG00000272825,2.3824239423
IGKV2OR22.3,3.0628196191
ACHE,2.3299115297
XXYLT1.AS2,2.4559698082
CDX2,4.7392917576
DOK5,2.0295248156
MIR924HG,2.3671169247
LINC01281,2.1625066828
SOX9,2.0838053723
IGKV1.16,2.4740848865
KIRREL2,3.2403734852
ENSG00000261266,3.0202897368
IGLV2.33,2.8167057327
KRT23,3.5385462311
ENSG00000253364,2.297366229
PRSS50,2.4338813623
ENSG00000258077,3.1143282923
CGB7,2.0856060939
NQO1,2.034157101
NLRP3P1,3.4896080673
ENSG00000231331,2.756775206
ENSG00000253408,2.891108036
IGHV3.20,2.5624592947
C12orf42,2.3034291305
ENSG00000253666,3.3271264218
ENSG00000179031,2.5288343463
KCNJ10,2.1068931331
IGLV2.23,2.2937600217
IGHV6.1,2.6020596452
ENSG00000279286,2.7432859951
LHB,2.1672886849
FAM172BP,2.4514295637
IGHV3.72,2.4642081977
IGLJ1,2.9801341138
ENSG00000260604,2.5895728613
GJB5,3.0631264196
RPL23AP77,3.0545223093
ANKRD36C,2.4620606016
ENSG00000242136,2.8486885859
IGKV2D.40,2.8601901542
HCAR1,2.4301200516
SLC13A5,2.8639981925
CRLF1,3.1080453827
CALHM3,3.1144176932
IGSF9B,2.1574608751
CNGA3,3.3887721035
UCN2,3.1483715635
IGLV2.18,2.4769623342
IGHV3.36,3.155965877
HOXA13,5.36703718
NXPH4,2.7192084727
COMP,2.3719869279
ENSG00000257588,2.9893351056
VSX1,3.0135987906
ENSG00000232850,2.3105719673
IGHV1.69,2.6661044589
PCAT7,2.0767776024
SPRR1B,4.3228194307
FOXB1,3.3586486584
SMIM31,2.8907666889
ENSG00000224220,2.1987135666
TEKT5,2.012667956
CYP4F23P,4.0935606812
ENSG00000253931,3.3923562177
DUSP9,2.9827366075
DISP3,2.5343065588
LGALS9B,3.0123428664
OACYLP,2.228398599
IGHV2OR16.5,3.871300161
LINC02188,3.7654085845
MANCR,3.6692648592
CD79A,2.0088042526
LINC00582,2.1617531573
ENSG00000240040,2.344739709
ENSG00000235563,3.2122138502
MIR148A,2.9610316204
HGD,2.6907874909
PHGR1,4.4537878648
IGLV2.5,2.5710673374
AMN,2.1225995841
IGLV1.41,3.1033468929
ENSG00000260658,4.1686316589
SPERT,3.7065036623
WTAPP1,2.4537035544
IL36RN,3.5760860933
SULT1C2P1,2.7678106629
NMNAT2,2.4659842658
CNGA1,2.1416890896
CDKN2A,2.3732236727
PDIA2,3.1310764309
HIST1H2AM,2.8301106265
MTNR1A,3.542044238
CPNE4,2.0579768283
KCNMB2.AS1,3.2256174467
IGHV3.6,2.8735616727
